B_COUNTRY_ALPHA,V2,V223,V225,V226,V106,V107,V241,IV166,V245
BGD,50,2,28,3,1,2,8,5,1
BGD,50,1,30,8,6,9,8,3,1
BGD,50,1,27,9,6,0,8,1,1
BGD,50,1,19,6,6,0,8,3,1
BGD,50,1,26,6,6,0,8,2,1
BGD,50,1,31,7,6,0,8,3,1
BGD,50,1,43,6,1,3,8,5,1
BGD,50,1,35,5,1,2,8,5,1
BGD,50,2,24,8,6,0,8,3,1
BGD,50,1,37,6,1,4,8,3,1
BGD,50,2,25,9,6,0,8,2,1
BGD,50,2,25,9,6,0,8,4,1
BGD,50,2,27,9,6,0,8,3,1
BGD,50,2,18,4,1,1,8,1,1
BGD,50,2,29,7,1,2,8,3,1
BGD,50,1,58,8,1,4,7,1,1
BGD,50,1,35,5,1,2,7,1,1
BGD,50,2,28,4,1,4,7,1,1
BGD,50,2,35,4,1,1,7,4,1
BGD,50,2,27,5,1,2,7,1,1
BGD,50,1,64,5,1,8,8,2,1
BGD,50,2,46,4,5,6,7,1,1
BGD,50,1,43,6,1,1,7,1,1
BGD,50,2,22,4,1,2,7,2,1
BGD,50,1,54,5,1,3,7,2,1
BGD,50,2,42,4,1,2,7,2,1
BGD,50,1,20,5,6,0,7,2,1
BGD,50,2,36,4,1,2,7,2,1
BGD,50,2,34,6,1,2,7,2,1
BGD,50,1,30,4,6,0,7,1,1
BGD,50,1,38,6,1,3,6,3,1
BGD,50,1,25,9,1,0,6,1,1
BGD,50,2,36,3,1,8,6,2,1
BGD,50,1,59,9,1,3,6,1,1
BGD,50,2,28,4,1,1,6,1,1
BGD,50,1,34,9,1,0,6,3,1
BGD,50,1,25,5,6,0,6,4,1
BGD,50,1,21,7,6,0,6,3,1
BGD,50,2,42,5,1,5,6,2,1
BGD,50,2,28,3,1,4,6,3,1
BGD,50,2,52,4,1,4,6,4,1
BGD,50,1,50,3,1,3,6,3,1
BGD,50,2,35,5,1,2,6,2,1
BGD,50,2,32,3,1,5,2,2,1
BGD,50,1,38,4,1,2,2,2,1
BGD,50,2,28,1,1,4,2,2,1
BGD,50,1,20,4,6,0,2,3,1
BGD,50,1,52,1,1,5,2,3,1
BGD,50,2,36,3,5,7,2,2,1
BGD,50,1,35,4,1,3,2,2,1
BGD,50,2,36,1,1,4,2,2,1
BGD,50,1,45,1,1,2,2,2,1
BGD,50,1,31,5,1,0,1,3,1
BGD,50,2,27,1,1,4,2,2,1
BGD,50,1,26,3,1,2,2,2,1
BGD,50,2,20,4,1,2,2,2,1
BGD,50,1,49,5,1,6,2,2,1
BGD,50,1,46,4,1,4,2,2,1
BGD,50,2,25,2,1,2,2,2,1
BGD,50,1,28,5,1,0,2,3,1
BGD,50,1,35,1,1,3,2,2,1
BGD,50,2,41,1,1,4,2,2,1
BGD,50,1,34,5,6,0,2,2,1
BGD,50,2,38,1,1,5,2,2,1
BGD,50,1,42,3,1,1,2,2,1
BGD,50,1,21,3,6,0,2,2,1
BGD,50,2,34,3,1,5,2,2,1
BGD,50,1,21,4,6,0,2,2,1
BGD,50,1,22,7,6,0,2,2,1
BGD,50,2,38,1,1,5,2,2,1
BGD,50,1,22,2,6,0,2,2,1
BGD,50,2,20,1,1,1,2,2,1
BGD,50,1,40,4,1,8,2,3,1
BGD,50,2,21,5,6,0,2,2,1
BGD,50,1,22,4,6,0,2,2,1
BGD,50,2,42,1,1,4,2,2,1
BGD,50,1,68,5,1,7,2,1,1
BGD,50,2,30,4,1,3,2,2,1
BGD,50,1,36,4,1,3,2,3,1
BGD,50,2,30,1,1,2,2,2,1
BGD,50,1,60,5,1,5,2,3,1
BGD,50,2,40,1,1,7,2,2,1
BGD,50,1,30,3,1,2,2,2,1
BGD,50,2,36,1,1,4,2,2,1
BGD,50,1,40,9,1,3,2,2,1
BGD,50,2,40,3,1,4,2,2,1
BGD,50,1,64,5,1,3,2,3,1
BGD,50,2,40,1,1,2,2,2,1
BGD,50,1,40,1,1,2,1,4,1
BGD,50,2,28,1,1,3,1,3,1
BGD,50,1,32,1,1,3,1,3,1
BGD,50,2,25,1,1,2,1,3,1
BGD,50,1,35,2,1,4,1,4,1
BGD,50,2,35,1,1,5,2,3,1
BGD,50,1,25,9,6,0,1,4,1
BGD,50,2,35,1,1,5,1,2,1
BGD,50,1,24,1,1,1,2,3,1
BGD,50,2,40,7,1,3,2,2,1
BGD,50,1,47,1,1,7,2,3,1
BGD,50,2,30,1,1,5,1,3,1
BGD,50,2,35,1,3,3,2,1,1
BGD,50,1,23,1,1,1,1,NA,1
BGD,50,2,30,2,1,3,2,3,1
BGD,50,1,60,6,1,4,2,5,1
BGD,50,1,22,6,6,0,2,5,1
BGD,50,1,51,5,1,5,3,3,1
BGD,50,1,26,9,6,0,NA,3,1
BGD,50,1,36,3,1,4,4,3,1
BGD,50,2,30,5,1,2,2,1,1
BGD,50,1,40,3,1,1,2,3,1
BGD,50,1,22,4,6,0,2,3,1
BGD,50,2,25,2,1,4,2,3,1
BGD,50,1,40,3,1,3,2,3,1
BGD,50,1,23,5,4,0,2,3,1
BGD,50,1,40,4,4,0,2,1,1
BGD,50,1,35,4,1,5,3,2,1
BGD,50,2,36,5,1,4,2,3,1
BGD,50,2,29,1,1,3,2,2,1
BGD,50,1,55,2,4,6,3,1,1
BGD,50,1,22,7,6,0,2,5,1
BGD,50,1,24,6,6,0,2,5,1
BGD,50,2,25,1,1,5,1,2,1
BGD,50,1,30,2,1,2,2,4,1
BGD,50,2,30,3,1,3,2,2,1
BGD,50,1,30,1,1,6,2,2,1
BGD,50,2,26,2,1,3,2,1,1
BGD,50,2,28,1,1,3,2,1,1
BGD,50,1,48,3,1,4,2,5,1
BGD,50,1,60,4,1,5,3,4,1
BGD,50,1,35,1,1,3,2,4,1
BGD,50,1,58,1,1,8,2,1,1
BGD,50,1,38,6,1,5,2,5,1
BGD,50,2,30,3,1,7,2,2,1
BGD,50,2,28,2,1,3,2,4,1
BGD,50,1,30,5,6,0,2,1,1
BGD,50,1,22,6,6,0,2,3,1
BGD,50,1,48,5,1,3,2,4,1
BGD,50,2,27,3,1,4,2,5,1
BGD,50,2,26,2,1,2,2,4,1
BGD,50,1,25,3,6,0,2,4,1
BGD,50,2,30,1,1,5,2,2,1
BGD,50,2,28,3,1,4,2,3,1
BGD,50,1,38,3,1,3,2,5,1
BGD,50,1,53,3,2,1,2,1,1
BGD,50,2,26,4,1,5,2,NA,1
BGD,50,2,27,2,1,3,2,2,1
BGD,50,1,53,2,1,4,2,3,1
BGD,50,1,28,4,1,5,2,1,1
BGD,50,1,38,3,1,3,2,3,1
BGD,50,1,30,2,1,4,2,2,1
BGD,50,1,40,5,1,4,2,4,1
BGD,50,1,35,5,1,3,2,1,1
BGD,50,2,29,3,3,2,2,4,1
BGD,50,2,28,2,1,5,2,3,1
BGD,50,2,29,2,1,4,2,1,1
BGD,50,1,30,1,1,2,3,3,1
BGD,50,1,35,1,1,4,2,4,1
BGD,50,1,28,2,1,3,2,2,1
BGD,50,1,48,2,1,6,3,5,1
BGD,50,1,35,1,1,3,3,3,1
BGD,50,2,29,2,1,5,2,1,1
BGD,50,1,38,6,1,2,2,5,1
BGD,50,1,32,2,1,4,2,2,1
BGD,50,2,30,2,1,5,2,1,1
BGD,50,1,22,6,6,0,2,3,1
BGD,50,2,28,2,1,3,2,1,1
BGD,50,1,28,NA,1,3,2,1,1
BGD,50,1,32,1,1,4,2,3,1
BGD,50,1,30,1,1,5,2,2,1
BGD,50,1,32,9,6,0,2,5,1
BGD,50,1,61,2,1,6,2,2,1
BGD,50,1,35,3,1,2,2,4,1
BGD,50,1,48,1,1,4,2,4,1
BGD,50,2,28,3,1,3,2,2,1
BGD,50,1,60,1,1,4,2,3,1
BGD,50,2,28,1,1,0,2,4,1
BGD,50,1,53,NA,1,4,2,2,1
BGD,50,2,40,3,1,3,NA,2,1
BGD,50,1,58,NA,1,6,2,3,1
BGD,50,2,30,4,1,1,3,3,1
BGD,50,1,28,9,6,0,2,2,1
BGD,50,1,30,1,1,5,3,5,1
BGD,50,2,32,3,1,3,3,4,1
BGD,50,1,53,3,1,3,2,2,1
BGD,50,1,22,9,6,0,3,4,1
BGD,50,1,48,8,1,1,3,4,1
BGD,50,2,29,3,1,4,2,1,1
BGD,50,1,28,4,1,2,2,3,1
BGD,50,2,30,2,1,5,2,2,1
BGD,50,1,52,3,1,4,3,3,1
BGD,50,1,32,3,6,0,2,3,1
BGD,50,1,35,5,1,2,2,1,1
BGD,50,2,30,7,1,6,2,1,1
BGD,50,1,55,3,1,4,3,1,1
BGD,50,1,35,6,1,3,3,5,1
BGD,50,2,33,3,1,4,2,4,1
BGD,50,1,40,7,1,3,3,5,1
BGD,50,2,28,4,1,5,2,3,1
BGD,50,1,22,8,6,0,3,5,1
BGD,50,2,38,3,5,3,3,NA,1
BGD,50,2,21,5,6,0,4,1,1
BGD,50,2,28,9,1,2,5,1,1
BGD,50,2,27,5,1,2,5,1,1
BGD,50,2,25,4,1,0,4,1,1
BGD,50,2,21,4,1,1,5,NA,1
BGD,50,2,25,8,1,3,6,1,1
BGD,50,2,21,4,1,2,6,1,1
BGD,50,2,22,9,1,2,5,2,1
BGD,50,2,21,8,6,0,6,1,1
BGD,50,2,25,9,1,2,4,3,1
BGD,50,2,NA,9,1,2,5,2,1
BGD,50,2,NA,9,1,1,5,2,1
BGD,50,2,32,8,1,1,6,NA,1
BGD,50,2,52,9,1,2,6,NA,1
BGD,50,2,32,4,1,3,5,1,1
BGD,50,2,40,5,1,1,3,NA,1
BGD,50,2,43,9,1,1,6,2,1
BGD,50,2,26,9,1,2,4,1,1
BGD,50,1,20,NA,6,0,3,3,1
BGD,50,1,20,4,6,0,2,1,1
BGD,50,1,32,7,1,2,3,1,1
BGD,50,1,52,8,1,5,3,3,1
BGD,50,1,35,6,1,2,2,NA,1
BGD,50,1,17,7,6,0,4,3,1
BGD,50,1,38,9,1,3,2,NA,1
BGD,50,1,45,3,1,2,3,NA,1
BGD,50,1,43,7,1,2,3,5,1
BGD,50,1,21,8,1,1,3,2,1
BGD,50,1,36,9,1,2,3,2,1
BGD,50,1,21,8,6,0,4,1,1
BGD,50,1,20,7,1,1,3,3,1
BGD,50,1,27,9,1,1,3,1,1
BGD,50,1,56,9,1,2,5,1,1
BGD,50,1,20,5,6,0,2,1,1
BGD,50,1,23,7,6,9,3,3,1
BGD,50,1,45,9,1,3,3,NA,1
BGD,50,1,28,7,1,1,3,NA,1
BGD,50,1,48,4,1,3,2,1,1
BGD,50,1,35,3,1,1,2,NA,1
BGD,50,1,31,4,1,1,2,NA,1
BGD,50,1,30,7,6,0,3,1,1
BGD,50,1,22,9,6,0,2,NA,1
BGD,50,1,27,5,6,0,2,NA,1
BGD,50,1,21,9,1,2,2,NA,1
BGD,50,1,62,7,1,7,2,NA,1
BGD,50,1,29,3,1,2,2,NA,1
BGD,50,1,61,4,1,4,3,3,1
BGD,50,1,38,7,1,3,2,NA,1
BGD,50,2,60,4,1,3,3,NA,1
BGD,50,2,28,9,1,1,2,NA,1
BGD,50,2,36,3,1,5,3,NA,1
BGD,50,2,25,4,1,2,3,NA,1
BGD,50,2,28,3,1,4,3,NA,1
BGD,50,2,50,7,1,2,3,NA,1
BGD,50,2,40,4,1,5,3,NA,1
BGD,50,2,48,4,1,3,3,NA,1
BGD,50,2,35,9,1,1,3,NA,1
BGD,50,2,52,4,1,3,3,NA,1
BGD,50,2,20,4,1,0,2,NA,1
BGD,50,2,38,3,1,4,3,NA,1
BGD,50,2,26,5,1,1,3,NA,1
BGD,50,1,44,6,1,8,3,1,1
BGD,50,1,26,7,6,0,3,NA,1
BGD,50,1,44,9,1,2,2,3,1
BGD,50,1,36,9,1,1,3,3,1
BGD,50,1,22,9,6,0,3,NA,1
BGD,50,1,50,7,1,1,3,NA,1
BGD,50,1,38,6,1,1,3,NA,1
BGD,50,1,54,5,1,6,3,NA,1
BGD,50,1,49,5,1,7,3,2,1
BGD,50,1,40,3,1,2,3,NA,1
BGD,50,1,22,4,6,0,3,NA,1
BGD,50,1,45,6,1,1,3,NA,1
BGD,50,1,32,5,1,0,3,NA,1
BGD,50,2,32,7,1,1,3,NA,1
BGD,50,2,70,9,1,1,5,3,1
BGD,50,2,38,4,1,3,3,NA,1
BGD,50,2,37,4,1,3,3,NA,1
BGD,50,2,28,4,1,1,3,NA,1
BGD,50,2,30,4,1,1,3,NA,1
BGD,50,2,35,5,1,2,3,NA,1
BGD,50,2,35,5,1,3,3,NA,1
BGD,50,2,43,5,1,7,3,NA,1
BGD,50,2,30,5,1,2,2,NA,1
BGD,50,2,51,5,1,2,3,NA,1
BGD,50,2,44,9,1,1,3,NA,1
BGD,50,2,40,5,1,0,3,NA,1
BGD,50,1,46,7,1,3,2,NA,1
BGD,50,2,30,4,1,2,2,2,1
BGD,50,2,50,2,1,2,2,NA,1
