iso3c	country	continent	region	ht_colonial	lexp	gdpc	pop
AFG	Afghanistan	Asia	South Asia	0	66.035	2201.72290691677	41454761
ALB	Albania	Europe	Europe & Central Asia	0	79.602	25011.1181110199	2414095
DZA	Algeria	Africa	Middle East & North Africa	6	76.261	16824.4879034627	46164219
AND	Andorra	Europe	Europe & Central Asia	0	84.041	71730.668682165	80856
AGO	Angola	Africa	Sub-Saharan Africa	7	64.617	9753.60046763783	36749906
ATG	Antigua & Barbuda	Americas	Latin America & Caribbean	5	77.598	31601.7527146877	93316
AZE	Azerbaijan	Asia	Europe & Central Asia	0	74.429	23651.5994852756	10153958
ARG	Argentina	Americas	Latin America & Caribbean	2	77.395	30221.4976888753	45538401
AUS	Australia	Oceania	East Asia & Pacific	0	83.0512195121951	72272.7092136683	26659922
AUT	Austria	Europe	Europe & Central Asia	0	81.5414634146342	73544.6567230487	9131761
BHS	Bahamas	Americas	Latin America & Caribbean	5	74.552	39090.1214737976	399440
BHR	Bahrain	Asia	Middle East & North Africa	5	81.284	64171.0857359052	1577059
BGD	Bangladesh	Asia	South Asia	5	74.672	9147.7775066555	171466990
ARM	Armenia	Asia	Europe & Central Asia	0	77.4658536585366	21534.030536117	2964300
BRB	Barbados	Americas	Latin America & Caribbean	5	76.178	23660.4047512929	282336
BEL	Belgium	Europe	Europe & Central Asia	0	82.3975609756098	71946.1447190292	11779946
BTN	Bhutan	Asia	South Asia	5	72.975	16215.1520073153	786385
BOL	Bolivia	Americas	Latin America & Caribbean	2	68.581	12892.1249578777	12244159
BIH	Bosnia & Herzegovina	Europe	Europe & Central Asia	0	77.85	23335.6038858207	3185073
BWA	Botswana	Africa	Sub-Saharan Africa	5	69.163	21012.10319925	2480244
BRA	Brazil	Americas	Latin America & Caribbean	7	75.848	21175.6186988214	211140729
BLZ	Belize	Americas	Latin America & Caribbean	5	73.566	13729.892058721	411106
SLB	Solomon Islands	Oceania	East Asia & Pacific	5	70.528	2596.56364252803	800005
BRN	Brunei	Asia	East Asia & Pacific	5	75.327	85032.6008741995	458949
BGR	Bulgaria	Europe	Europe & Central Asia	0	75.7073170731707	38804.100900756	6446596
MMR	Myanmar (Burma)	Asia	East Asia & Pacific	5	66.889	5953.35735165913	54133798
BDI	Burundi	Africa	Sub-Saharan Africa	8	63.651	1149.98405842389	13689450
BLR	Belarus	Europe	Europe & Central Asia	0	74.1837804878049	30834.177366811098	9178298
KHM	Cambodia	Asia	East Asia & Pacific	6	70.668	7430.73085709837	17423880
CMR	Cameroon	Africa	Sub-Saharan Africa	6	63.7	5410.76921937642	28372687
CAN	Canada	Americas	North America	0	81.6465853658537	64219.3173928637	40083484
CPV	Cape Verde	Africa	Sub-Saharan Africa	7	76.059	10242.1532011212	522331
CAF	Central African Republic	Africa	Sub-Saharan Africa	6	57.408	1257.09435717114	5152421
LKA	Sri Lanka	Asia	South Asia	5	77.483	14455.6544414734	22037000
TCD	Chad	Africa	Sub-Saharan Africa	6	55.069	2700.36055335878	19319064
CHL	Chile	Americas	Latin America & Caribbean	2	81.167	33145.403552025	19658835
CHN	China	Asia	East Asia & Pacific	0	77.953	25179.1193066383	1410710000
TWN	Taiwan	Asia	East Asia & Pacific	0	NA	NA	NA
COL	Colombia	Americas	Latin America & Caribbean	2	77.725	21246.3762695201	52321152
COM	Comoros	Africa	Sub-Saharan Africa	6	66.777	3811.65084882413	850387
COG	Congo - Brazzaville	Africa	Sub-Saharan Africa	6	65.772	6850.27770621099	6182885
COD	Congo - Kinshasa	Africa	Sub-Saharan Africa	8	61.895	1730.62228877694	105789731
CRI	Costa Rica	Americas	Latin America & Caribbean	2	80.799	28908.7688743191	5105525
HRV	Croatia	Europe	Europe & Central Asia	0	78.4731707317073	47959.4354345969	3859686
CUB	Cuba	Americas	Latin America & Caribbean	2	NA	NA	NA
CYP	Cyprus	Asia	Europe & Central Asia	5	81.648	59422.90234375	1344976
CZE	Czechia	Europe	Europe & Central Asia	0	79.8780487804878	55761.3798291375	10864042
BEN	Benin	Africa	Sub-Saharan Africa	6	60.774	4129.9661200142	14111034
DNK	Denmark	Europe	Europe & Central Asia	0	81.8536585365854	77892.2932609904	5946952
DMA	Dominica	Americas	Latin America & Caribbean	5	71.132	20285.9821663707	66510
DOM	Dominican Republic	Americas	Latin America & Caribbean	2	73.72	25839.9356687607	11331265
ECU	Ecuador	Americas	Latin America & Caribbean	2	77.392	15918.5162948773	17980083
SLV	El Salvador	Americas	Latin America & Caribbean	2	72.099	12679.5768752061	6309624
GNQ	Equatorial Guinea	Africa	Sub-Saharan Africa	2	63.707	17411.500234384	1847549
ETH	Ethiopia	Africa	Sub-Saharan Africa	0	67.315	3060.9050300376002	128691692
ERI	Eritrea	Africa	Sub-Saharan Africa	5	NA	NA	NA
EST	Estonia	Europe	Europe & Central Asia	0	78.490243902439	48637.1802208795	1370286
FJI	Fiji	Oceania	East Asia & Pacific	5	67.316	14644.1773754361	924145
FIN	Finland	Europe	Europe & Central Asia	0	81.6853658536585	63414.9936878177	5583911
FRA	France	Europe	Europe & Central Asia	0	82.9292682926829	60838.9416716424	68372286
DJI	Djibouti	Africa	Middle East & North Africa	6	65.987	7225.8387957249	1152944
GAB	Gabon	Africa	Sub-Saharan Africa	6	68.337	20755.665381766	2484789
GEO	Georgia	Asia	Europe & Central Asia	0	74.496	25071.9677264107	3715483
GMB	Gambia	Africa	Sub-Saharan Africa	5	65.86	3289.13283057107	2697845
DEU	Germany	Europe	Europe & Central Asia	0	80.5414634146342	71684.0311875583	83287273
GHA	Ghana	Africa	Sub-Saharan Africa	5	65.498	7556.41605453234	33787914
KIR	Kiribati	Oceania	East Asia & Pacific	5	66.473	3485.55808311399	132530
GRC	Greece	Europe	Europe & Central Asia	0	81.5365853658537	42710.5058010314	10407351
GRD	Grenada	Americas	Latin America & Caribbean	5	75.205	18970.740164653	117081
GTM	Guatemala	Americas	Latin America & Caribbean	2	72.602	13745.3631241794	18124838
GIN	Guinea	Africa	Sub-Saharan Africa	6	60.74	4333.74617312626	14405468
GUY	Guyana	Americas	Latin America & Caribbean	5	70.18	54729.0365156366	826353
HTI	Haiti	Americas	Latin America & Caribbean	6	64.936	3291.73817887066	11637398
HND	Honduras	Americas	Latin America & Caribbean	2	72.884	7178.33906781522	10644851
HUN	Hungary	Europe	Europe & Central Asia	0	76.7707317073171	46592.3856070073	9592186
ISL	Iceland	Europe	Europe & Central Asia	0	82.6073170731707	81608.4479116436	385663
IND	India	Asia	South Asia	5	72.003	10323.4998734428	1438069596
IDN	Indonesia	Asia	East Asia & Pacific	1	71.146	15415.7079259527	281190067
IRN	Iran	Asia	Middle East & North Africa	0	77.654	18917.0914723132	90608707
IRQ	Iraq	Asia	Middle East & North Africa	5	72.324	14652.5212399212	45074049
IRL	Ireland	Europe	Europe & Central Asia	0	82.8609756097561	129682.607150517	5311538
ISR	Israel	Asia	Middle East & North Africa	0	83.1951219512195	55171.2318814321	9849000
ITA	Italy	Europe	Europe & Central Asia	0	83.7	60029.871712398	58984216
CIV	Côte d’Ivoire	Africa	Sub-Saharan Africa	6	61.944	7237.18170740909	31165654
JAM	Jamaica	Americas	Latin America & Caribbean	5	71.479	12650.9052955938	2839786
JPN	Japan	Asia	East Asia & Pacific	0	84.0412195121951	50661.7663463109	124516650
KAZ	Kazakhstan	Asia	Europe & Central Asia	0	74.402	38515.1836009979	20330104
JOR	Jordan	Asia	Middle East & North Africa	5	77.814	10411.8416152967	11439213
KEN	Kenya	Africa	Sub-Saharan Africa	5	63.646	6317.03904665091	55339003
PRK	North Korea	Asia	East Asia & Pacific	0	NA	NA	NA
KOR	South Korea	Asia	East Asia & Pacific	0	83.4292682926829	57429.8031076402	51712619
KWT	Kuwait	Asia	Middle East & North Africa	5	83.1878048780488	53025.4710858063	4853420
KGZ	Kyrgyzstan	Asia	Europe & Central Asia	0	72.2487804878049	7298.08612561933	7099750
LAO	Laos	Asia	East Asia & Pacific	6	68.964	9291.78859001138	7664993
LBN	Lebanon	Asia	Middle East & North Africa	6	77.817	12574.8329116403	5773493
LSO	Lesotho	Africa	Sub-Saharan Africa	5	57.375	2880.96629615692	2311472
LVA	Latvia	Europe	Europe & Central Asia	0	75.6780487804878	42576.4060799457	1883710
LBR	Liberia	Africa	Sub-Saharan Africa	0	62.163	1794.53340863362	5493031
LBY	Libya	Africa	Middle East & North Africa	3	69.339	13847.0792190045	7305659
LIE	Liechtenstein	Europe	Europe & Central Asia	0	NA	NA	NA
LTU	Lithuania	Europe	Europe & Central Asia	0	76.9878048780488	52348.2468215268	2871585
LUX	Luxembourg	Europe	Europe & Central Asia	0	83.3585365853659	150508.218886888	666430
MDG	Madagascar	Africa	Sub-Saharan Africa	6	63.632	1808.44779038579	31195932
MWI	Malawi	Africa	Sub-Saharan Africa	5	67.353	1830.46461287442	21104482
MYS	Malaysia	Asia	East Asia & Pacific	5	76.657	36466.8914938333	35126298
MDV	Maldives	Asia	South Asia	5	81.041	24786.2032123451	525994
MLI	Mali	Africa	Sub-Saharan Africa	6	60.439	3174.62960276396	23769127
MLT	Malta	Europe	Middle East & North Africa	0	83.5073170731707	66568.59947529	552747
MRT	Mauritania	Africa	Sub-Saharan Africa	6	68.484	6965.90953574715	5022441
MUS	Mauritius	Africa	Sub-Saharan Africa	5	73.4121951219512	29560.7137230079	1248647
MEX	Mexico	Americas	Latin America & Caribbean	2	75.069	25243.1644887582	129739759
MCO	Monaco	Europe	Europe & Central Asia	0	NA	NA	NA
MNG	Mongolia	Asia	East Asia & Pacific	0	72.1224390243902	18004.8512058355	3481145
MDA	Moldova	Europe	Europe & Central Asia	0	71.198	17746.9405538684	2457783
MNE	Montenegro	Europe	Europe & Central Asia	0	77.5878048780488	32199.703195863	623529
MAR	Morocco	Africa	Middle East & North Africa	6	75.313	9894.650390625	37712505
MOZ	Mozambique	Africa	Sub-Saharan Africa	7	63.611	1678.39118243681	33635160
OMN	Oman	Asia	Middle East & North Africa	5	80.031	41945.0255640883	5049269
NAM	Namibia	Africa	Sub-Saharan Africa	5	67.385	11251.2370313819	2963095
NRU	Nauru	Oceania	East Asia & Pacific	10	62.109	13731.5704745016	11875
NPL	Nepal	Asia	South Asia	0	70.354	5395.20820077513	29694614
NLD	Netherlands	Europe	Europe & Central Asia	0	81.9146341463415	81728.6904629268	17877117
VUT	Vanuatu	Oceania	East Asia & Pacific	9	71.477	3567.81882030223	320409
NZL	New Zealand	Oceania	East Asia & Pacific	0	83.0048780487805	54697.382252318	5200000
NIC	Nicaragua	Americas	Latin America & Caribbean	2	74.947	8319.97944140996	6823613
NER	Niger	Africa	Sub-Saharan Africa	6	61.183	1875.15306770628	26159867
NGA	Nigeria	Africa	Sub-Saharan Africa	5	54.462	8705.43426693539	227882945
NOR	Norway	Europe	Europe & Central Asia	0	83.1121951219512	103637.516843678	5519601
FSM	Micronesia (Federated States of)	Oceania	East Asia & Pacific	4	67.198	4233.74492558769	112630
PLW	Palau	Oceania	East Asia & Pacific	4	69.269	18230.2698627414	17727
PAK	Pakistan	Asia	South Asia	5	67.649	6013.989636386	247504495
PAN	Panama	Americas	Latin America & Caribbean	2	79.594	39813.3857939972	4458759
PNG	Papua New Guinea	Oceania	East Asia & Pacific	10	66.134	4667.83567092991	10389635
PRY	Paraguay	Americas	Latin America & Caribbean	2	73.844	17564.4912369374	6844146
PER	Peru	Americas	Latin America & Caribbean	2	77.74	17011.2278028825	33845617
PHL	Philippines	Asia	East Asia & Pacific	4	69.833	10985.8292627505	114891199
POL	Poland	Europe	Europe & Central Asia	0	78.5073170731707	48473.0940286419	36687353
PRT	Portugal	Europe	Europe & Central Asia	0	82.2804878048781	49352.8388613032	10578174
GNB	Guinea-Bissau	Africa	Sub-Saharan Africa	7	64.085	2989.67235980477	2153339
TLS	Timor-Leste	Asia	East Asia & Pacific	0	67.689	4806.82181559299	1384286
QAT	Qatar	Asia	Middle East & North Africa	5	82.368	129367.869670927	2656032
ROU	Romania	Europe	Europe & Central Asia	0	76.6073170731707	47038.5288626113	19061062
RUS	Russia	Europe	Europe & Central Asia	0	73.2546341463415	44268.73046875	143826130
RWA	Rwanda	Africa	Sub-Saharan Africa	8	67.785	3399.45174603143	13954471
KNA	St. Kitts & Nevis	Americas	Latin America & Caribbean	5	72.145	33979.6303615734	46758
LCA	St. Lucia	Americas	Latin America & Caribbean	5	72.697	25974.5092925263	179285
VCT	St. Vincent & Grenadines	Americas	Latin America & Caribbean	5	71.23	19819.869034679	101323
SMR	San Marino	Europe	Europe & Central Asia	0	85.706	78745.4313299335	33860
STP	São Tomé & Príncipe	Africa	Sub-Saharan Africa	7	69.718	6149.98146081932	230871
SAU	Saudi Arabia	Asia	Middle East & North Africa	0	78.732	71564.800028565	33702731
SEN	Senegal	Africa	Sub-Saharan Africa	6	68.683	4777.61451861578	18077573
SRB	Serbia	Europe	Europe & Central Asia	0	76.2209756097561	29800.0611177762	6623183
SYC	Seychelles	Africa	Sub-Saharan Africa	5	74.9585365853659	31780.7838341965	119773
SLE	Sierra Leone	Africa	Sub-Saharan Africa	5	61.786	3368.31727188063	8460512
SGP	Singapore	Asia	East Asia & Pacific	5	82.8951219512195	143786.136293013	5917648
SVK	Slovakia	Europe	Europe & Central Asia	0	78.0170731707317	45973.9406902991	5426740
VNM	Vietnam	Asia	East Asia & Pacific	6	74.588	15033.8768594355	100352192
SVN	Slovenia	Europe	Europe & Central Asia	0	81.9780487804878	56064.0974596742	2120461
SOM	Somalia	Africa	Sub-Saharan Africa	3	58.816	1555.61016798776	18358615
ZAF	South Africa	Africa	Sub-Saharan Africa	5	66.139	15199.7329823776	63212384
ZWE	Zimbabwe	Africa	Sub-Saharan Africa	5	62.775	5791.19212877988	16340822
ESP	Spain	Europe	Europe & Central Asia	0	83.8829268292683	55682.2402603093	48352528
SSD	South Sudan	Africa	Sub-Saharan Africa	5	NA	NA	NA
SDN	Sudan	Africa	Sub-Saharan Africa	5	66.331	2420.65795898438	50042791
SUR	Suriname	Americas	Latin America & Caribbean	1	73.631	21110.1980204563	628886
SWZ	Eswatini	Africa	Sub-Saharan Africa	5	64.123	11299.8831236788	1230506
SWE	Sweden	Europe	Europe & Central Asia	0	83.309756097561	69226.3272756663	10536632
CHE	Switzerland	Europe	Europe & Central Asia	0	84.0560975609756	95141.5960943632	8888822
SYR	Syria	Asia	Middle East & North Africa	6	72.79	4772.4616766716	22462173
TJK	Tajikistan	Asia	Europe & Central Asia	0	71.79	4963.58295264504	10389799
THA	Thailand	Asia	East Asia & Pacific	0	76.412	23519.2120979823	71702435
TGO	Togo	Africa	Sub-Saharan Africa	6	62.739	3154.43329348299	9304337
TON	Tonga	Oceania	East Asia & Pacific	5	72.895	7802.66986206107	104597
TTO	Trinidad & Tobago	Americas	Latin America & Caribbean	5	73.49	34623.3691500959	1367510
ARE	United Arab Emirates	Asia	Middle East & North Africa	5	82.909	77955.2951760879	10483751
TUN	Tunisia	Africa	Middle East & North Africa	6	76.508	14040.5961148142	12200431
TUR	Turkey	Asia	Europe & Central Asia	0	77.156	42786.2004948664	85325965
